LCSC Part,First Category,Second Category,MFR.Part,Package,Solder Joint,Manufacturer,Library Type,Description,Datasheet,Price,Stock
C2678152,ICE40UP5K-SG48I,,,,,,,,,0:9.15,Digikey
C2962219,X1270WVS-2x05B-6TV01,,,,,,,,,0:0.2774,
C5118826,MDBT50Q-1MV2,,,,,,,,,0:9.94,Digikey
18010,18010,,,,,,,,,0:6.58,AliExpress
ESP32-WROVER-DEV,ESP32-WROVER-DEV,,,,,,,,,0:8.21,AliExpress
C8734,STM32F103C8T6,,,,,,,,,0:2.4824,
